commentId,videoId,authorChannelId,likeCount,publishedAt
z13xylbbezuoh351r22ygttrpqitfxzhd04,JOCtdw9FG-s,UCmP4vZz0Jbucufh8RvT7LFA,0,13/03/2017 19:59:00
z12xhzkiiqiysj02y23vztgwrtqnt5ixh04,zKx2B8WCQuw,UCbXK-C4H2a1lU-glRVLPQVA,0,14/03/2017 11:19:28
z13ugfm5voztyts1y221dlcwdpmivrrsw,zKx2B8WCQuw,UC61o7XHI6jQn85BHxA_-EOw,0,14/03/2017 10:11:20
z13yyd3ybr2ldfsb404ci5qbgzi0vjb5sp00k,euarnxNVw7I,UCjPJcq2HhnckpOMYz4KBloQ,0,12/03/2017 12:19:46
z135zxd4up2hxdeaw04cedng3o3fuvrqqhk,euarnxNVw7I,UCG-MloHpDqlEid1ZtMXTxVg,0,11/03/2017 16:40:25
z12jfv2yxnfuytde222xsv3orlzcgjkjz04,_DVjS8nXsQ4,UCNJcSUSzUeFm8W9P7UUlSeQ,111,23/02/2017 07:25:55
z13pe1qgfvrst53u323at1hyuo30wpobf04,_DVjS8nXsQ4,UCAJVpOX0IG_O36bFCTdc7Hw,0,14/03/2017 05:14:38
z13ce5whnzz3yta4k04cdfyqzlntdjbhhas,3OhixQu2GHU,UC9QrwOGEOeoFe4raILvxZDg,0,14/03/2017 12:49:57
z125clqiys3fhdbdh23eehqqtpans5jnm,3OhixQu2GHU,UCofft-2GU4GpscAWE5c5PlQ,1,13/03/2017 11:02:59
z12kulhhimzwuf2gl04cejxj5s24ivsoiog0k,hyNJA4solPE,UCuYXqUb_tcvhlmKDoGPI_sQ,0,13/03/2017 05:14:31
z13kgv1wuojncrefb23hexuhnni1wncoi04,hyNJA4solPE,UCWywB4nEmBHXWN0xbD2W0KQ,0,13/03/2017 01:24:43
z121fz3zet3xyplgt04chddquvaouj0pyic,PTSBU4hygB8,UCofft-2GU4GpscAWE5c5PlQ,0,13/03/2017 11:03:26
z13zhxfwclu5tnlql04cd3ywwmvlzzdxhpo0k,PTSBU4hygB8,UC_9rgP31jfQU36RPlkKcl4A,0,12/03/2017 06:08:46
z12st1qhupfquln4404cdfppvxzyuxkxxd0,lMu38qaE1po,UCkaS2ok0rzVQmMbnAkjl3uQ,0,12/03/2017 15:53:49
z125fhnwxzy3ippzw04cfl1wikvjxjcw1eg,lMu38qaE1po,UCx5T1gtbR4MTimx23atFBkw,0,12/03/2017 13:07:32
z12kjze5zkqctnzyu04cd5sogtyqwvjwswg0k,RimXql3zQkU,UC8t-evzHbSriKTi0gWi1OaA,0,14/03/2017 14:26:39
z12mtr24qq2wutixy04cgx1wuyf4xzwozlk0k,RimXql3zQkU,UCrJtxC82EgX6BFh48hrxuog,0,13/03/2017 18:28:51
z134s31h2pngxtlao04cejeawuythxm4vi0,Y9ZOSBdaajw,UC2s0yhfYotiKn4jIZXMAI5w,0,01/03/2017 18:20:12
z12dhfrbwzrdhxv2422nulrarqfjglavk,Y9ZOSBdaajw,UC2s0yhfYotiKn4jIZXMAI5w,0,01/03/2017 18:18:44
z12yvfbqpnbpcjn0r23cvzxgfwvxerc25,IHvQcPiDmJk,UCeqdr0To477odLlNY5NW46A,0,12/03/2017 18:18:35
z12xxfkobvfsz3iak04cchy4grrsxpi5ji0,IHvQcPiDmJk,UCyiywoNnLoKWU1KkG4_4b8g,0,11/03/2017 03:23:07
z120ev1xomiqizc2r23qhbgafqfpgxqwo04,o9t405ka2YY,UCDRhBbimPk2ivYv1xaeBqhA,0,14/03/2017 05:08:05
z13oh13zbtfviplma222grpg0u2gwrx0s,o9t405ka2YY,UC6JpbLHQmWORTC40Pc1rVmg,0,13/03/2017 09:09:14
z124jh1ootfvhteg204cg1r4tyq4cnl5ygw,-0XiiT5dR_Q,UCQGDEJ_fXaxWGTVEZohFUDw,0,12/03/2017 20:00:17
